target_id	length	eff_length	est_counts	tpm
Smp_068990.1	7963	7792.08	795.092	8.3429
Smp_159540.1	12903	12732.1	347	2.22835
Smp_116070.1	267	106.167	0	0
Smp_159550.1	2046	1875.08	144	6.27908
Smp_159560.1	2208	2037.08	35	1.4048
Smp_159570.1	3744	3573.08	316	7.23099
Smp_159590.1	2091	1920.08	253	10.7734
Smp_159600.1	4779	4608.08	260	4.61324
Smp_129610.1	1155	984.079	157	13.0444
Smp_129600.1	444	273.51	12	3.58724
Smp_129590.1	4881	4710.08	447	7.75948
Smp_129580.1	3912	3741.08	542.729	11.8615
Smp_201090.1	1422	1251.08	41	2.67949
Smp_129550.1	2800	2629.08	508.271	15.8068
Smp_129560.1	2528	2357.08	697	24.1775
Smp_013690.1	3060	2889.08	759	21.4801
Smp_209010.1	38357	38186.1	1355.71	2.90279
Smp_129570.1	1974	1803.08	441.274	20.01
Smp_124360.1	615	444.079	579	106.603
Smp_124350.1	3279	3108.08	82	2.15712
Smp_004090.1	834	663.079	346	42.6642
Smp_004080.1	1397	1226.08	538	35.8771
Smp_004070.1	776	605.079	28	3.78355
Smp_004060.1	1587	1416.08	169	9.75781
Smp_124340.1	2328	2157.08	12	0.45485
Smp_004040.1	1251	1080.08	162	12.2634
Smp_004020.1	4161	3990.08	1034	21.1881
Smp_124320.1	1230	1059.08	346	26.7117
Smp_004000.1	3090	2919.08	202.632	5.67565
Smp_003990.1	1172	1001.08	4327	353.404
Smp_003980.1	2372	2201.08	759	28.1942
Smp_114240.1	415	244.83	98.9248	33.0364
Smp_003970.1	809	638.079	1922	246.282
Smp_101670.1	3278	3107.08	192	5.05245
Smp_124310.1	712	541.079	139	21.0043
Smp_124300.1	2014	1843.08	437	19.3861
Smp_124290.1	384	214.463	200	76.2484
Smp_003940.1	1118	947.079	175	15.1079
Smp_003930.1	1720	1549.08	71	3.74747
Smp_124280.1	2021	1850.08	34	1.50259
Smp_003900.1	3570	3399.08	85	2.04461
Smp_124250.1	1125	954.079	85	7.2843
Smp_124240.1	1748	1577.08	1729	89.6385
Smp_003860.1	809	638.079	301	38.5696
Smp_124230.1	1017	846.079	165	15.9451
Smp_124220.1	6395	6224.08	964	12.6635
Smp_124210.1	2163	1992.08	27	1.10818
Smp_193890.1	162	31.1837	3	7.86588
Smp_193900.1	243	86.3111	0	0
Smp_124200.1	4437	4266.08	18	0.344982
Smp_003790.1	831	660.079	8	0.99094
Smp_124190.1	2616	2445.08	34	1.13694
Smp_003770.1	582	411.079	4031	801.753
Smp_003760.1	576	405.079	17	3.43133
Smp_124180.1	6729	6558.08	2	0.0249348
Smp_124170.1	3903	3732.08	322	7.05437
Smp_124160.1	1006	835.079	114.3	11.1911
Smp_124160.2	936	765.079	156.7	16.7461
Smp_003700.1	1180	1009.08	705	57.1238
Smp_124130.1	1434	1263.08	44	2.84823
Smp_003670.1	3459	3288.08	336	8.35507
Smp_003660.1	2381	2210.08	2681	99.1841
Smp_124120.1	1713	1542.08	154	8.16521
Smp_124110.1	2250	2079.08	331	13.017
Smp_003630.1	1610	1439.08	825	46.873
Smp_003620.1	2144	1973.08	828	34.3114
Smp_003610.1	2325	2154.08	298.167	11.3175
Smp_003610.2	471	300.296	377.441	102.767
Smp_003600.1	471	300.296	8	2.17818
Smp_188200.1	480	309.265	3	0.793127
Smp_124100.1	2775	2604.08	347	10.895
Smp_124090.1	2865	2694.08	6	0.182093
Smp_124080.1	279	116.49	8	5.61507
Smp_124070.1	698	527.079	447	69.3402
Smp_124060.1	711	540.079	170	25.7362
Smp_124050.1	2408	2237.08	503.498	18.4022
Smp_124050.2	1167	996.079	0	0
Smp_124050.4	1305	1134.08	4026.5	290.294
Smp_124040.1	1041	870.079	200	18.7942
Smp_200320.1	219	67.9315	6	7.22159
Smp_124030.1	1407	1236.08	156	10.3189
Smp_124020.1	1286	1115.08	326	23.9037
Smp_124010.1	375	205.758	0	0
Smp_124000.1	415	244.83	1890	631.175
Smp_003440.1	1797	1626.08	369	18.554
Smp_200330.1	750	579.079	631	89.0932
Smp_123990.1	1203	1032.08	883	69.9521
Smp_123980.1	219	67.9315	0	0
Smp_003410.1	663	492.079	3680	611.457
Smp_123970.1	273	111.324	0	0
Smp_123960.1	13015	12844.1	456	2.90279
Smp_188600.1	213	63.5075	4	5.14977
