target_id	length	eff_length	est_counts	tpm
Smp_200310.1	285	124.716	12.4772	9.48663
Smp_068990.1	7963	7795.57	167.994	2.04344
Smp_159540.1	12903	12735.6	443	3.29839
Smp_116070.1	267	109.023	0	0
Smp_159550.1	2046	1878.57	117	5.90573
Smp_159560.1	2208	2040.57	69	3.20637
Smp_159570.1	3744	3576.57	159	4.21547
Smp_159590.1	2091	1923.57	199	9.80981
Smp_159600.1	4779	4611.57	303	6.23031
Smp_129610.1	1155	987.573	91	8.73752
Smp_129600.1	444	277.276	51	17.4411
Smp_129590.1	4881	4713.57	266	5.35116
Smp_129580.1	3912	3744.57	375.526	9.50943
Smp_201090.1	1422	1254.57	104	7.86056
Smp_129550.1	2800	2632.57	257.474	9.27403
Smp_129560.1	2528	2360.57	394	15.8269
Smp_013690.1	3060	2892.57	784	25.7009
Smp_209010.1	38357	38189.6	624.132	1.5497
Smp_129570.1	1974	1806.57	387.086	20.3174
Smp_124360.1	615	447.676	1134	240.196
Smp_124350.1	3279	3111.57	137	4.175
Smp_004090.1	834	666.573	303	43.1033
Smp_004080.1	1397	1229.57	347	26.7603
Smp_004070.1	776	608.573	84	13.0883
Smp_004060.1	1587	1419.57	21	1.40274
Smp_124340.1	2328	2160.57	6	0.263329
Smp_004040.1	1251	1083.57	142	12.4264
Smp_004020.1	4161	3993.57	821	19.4939
Smp_124320.1	1230	1062.57	146	13.029
Smp_004000.1	3090	2922.57	182.645	5.92595
Smp_003990.1	1172	1004.57	5156	486.684
Smp_003980.1	2372	2204.57	507	21.8072
Smp_114240.1	415	248.668	18.9985	7.24464
Smp_003970.1	809	641.573	1251	184.896
Smp_101670.1	3278	3110.57	67	2.04245
Smp_124310.1	712	544.573	103	17.9348
Smp_124300.1	2014	1846.57	182	9.3459
Smp_124290.1	384	218.286	362	157.253
Smp_003940.1	1118	950.573	109	10.8732
Smp_003930.1	1720	1552.57	107	6.53503
Smp_124280.1	2021	1853.57	12	0.613886
Smp_003900.1	3570	3402.57	206	5.74085
Smp_124250.1	1125	957.573	47	4.65417
Smp_124240.1	1748	1580.57	2315	138.884
Smp_003860.1	809	641.573	338	49.9559
Smp_124230.1	1017	849.573	38	4.2413
Smp_124220.1	6395	6227.57	403	6.13624
Smp_124210.1	2163	1995.57	50	2.37585
Smp_193890.1	162	33.1801	3	8.57352
Smp_193900.1	243	88.9131	0	0
Smp_124200.1	4437	4269.57	9	0.199882
Smp_003790.1	831	663.573	3	0.428695
Smp_124190.1	2616	2448.57	21	0.813247
Smp_003770.1	582	414.676	3832	876.26
Smp_003760.1	576	408.676	38	8.817
Smp_124180.1	6729	6561.57	3	0.043354
Smp_124170.1	3903	3735.57	97	2.46224
Smp_124160.1	1006	838.573	87.0858	9.84742
Smp_124160.2	936	768.573	143.914	17.7556
Smp_003700.1	1180	1012.57	970	90.8367
Smp_124130.1	1434	1266.57	62	4.64171
Smp_003670.1	3459	3291.57	323	9.30497
Smp_003660.1	2381	2213.57	1628	69.7392
Smp_124120.1	1713	1545.57	43	2.63812
Smp_124110.1	2250	2082.57	176	8.01362
Smp_003630.1	1610	1442.57	553	36.3499
Smp_003620.1	2144	1976.57	613	29.4079
Smp_003610.1	2325	2157.57	409.171	17.9827
Smp_003610.2	471	304.118	390.627	121.797
Smp_003600.1	471	304.118	9	2.80618
Smp_188200.1	480	313.072	12	3.63457
Smp_124100.1	2775	2607.57	184	6.6911
Smp_124090.1	2865	2697.57	4	0.140606
Smp_124080.1	279	119.464	31	24.606
Smp_124070.1	698	530.573	120	21.4463
Smp_124060.1	711	543.573	139	24.2478
Smp_124050.1	2408	2240.57	276.834	11.7159
Smp_124050.2	1167	999.573	0	0
Smp_124050.4	1305	1137.57	4063.17	338.689
Smp_124040.1	1041	873.573	213	23.1205
Smp_200320.1	219	70.2534	1	1.34974
Smp_124030.1	1407	1239.57	116	8.87364
Smp_124020.1	1286	1118.57	297	25.1772
Smp_124010.1	375	209.521	1	0.452573
Smp_124000.1	415	248.668	6228	2374.9
Smp_003440.1	1797	1629.57	1529	88.9713
Smp_200330.1	750	582.573	353	57.4566
Smp_123990.1	1203	1035.57	276	25.2723
Smp_123980.1	219	70.2534	0	0
Smp_003410.1	663	495.676	1653	316.221
Smp_123970.1	273	114.075	5	4.15618
Smp_123960.1	13015	12847.6	540	3.98556
Smp_188600.1	213	65.6276	2	2.88974
Smp_123950.1	2732	2564.57	472.127	17.4566
Smp_123940.1	3587	3419.57	274.873	7.62214
Smp_003340.1	3440	3272.57	414	11.9957
Smp_003330.1	586	418.676	530	120.037
Smp_123930.1	1284	1116.57	761	64.6269
Smp_123920.1	573	405.696	0	0
Smp_003300.1	1167	999.573	0	0
Smp_123910.1	741	573.573	55	9.09264
Smp_123900.1	195	53.1111	0	0
Smp_003280.1	3027	2859.57	12	0.39792
Smp_123880.1	586	418.676	3996	905.032
Smp_003250.1	408	241.79	311	121.966
Smp_123870.1	498	330.944	457	130.942
Smp_003230.1	3038	2870.57	1617.01	53.4146
Smp_123860.1	2709	2541.57	839	31.3022
Smp_123850.1	264	106.485	0	0
Smp_123840.1	2580	2412.57	178	6.99609
Smp_003190.1	3648	3480.57	80	2.17949
Smp_123830.1	4818	4650.57	7927	161.629
Smp_123820.1	3120	2952.57	72	2.31232
Smp_123810.1	1542	1374.57	48	3.31123
Smp_003140.1	1766	1598.57	390	23.1339
Smp_003130.1	741	573.573	409	67.6162
Smp_123790.1	948	780.573	99	12.0265
Smp_123780.1	1944	1776.57	515	27.4878
Smp_003110.1	1246	1078.57	2250.82	197.883
Smp_003110.2	5152	4984.57	421.096	8.01068
Smp_197080.1	2541	2373.57	2053	82.0167
Smp_197070.1	1734	1566.57	51	3.08699
Smp_123750.1	3142	2974.57	1015	32.3562
Smp_200440.1	462	295.148	230	73.8931
Smp_200470.1	276	116.785	0	0
Smp_200480.1	480	313.072	0	0
Smp_073800.1	2571	2403.57	300	11.8353
Smp_073790.1	781	613.573	2464	380.794
Smp_162060.1	2212	2044.57	1846	85.6141
Smp_162050.1	5603	5435.57	340	5.9313
Smp_162040.1	8890	8722.57	1331.69	14.4769
Smp_162030.1	1425	1257.57	250	18.8505
Smp_073720.1	3573	3405.57	1452	40.429
Smp_162010.1	2385	2217.57	58.6764	2.50901
Smp_073690.1	10945	10777.6	302.459	2.6611
Smp_073690.2	708	540.573	144.829	25.405
Smp_073680.1	1258	1090.57	878	76.3406
Smp_162000.1	23589	23421.6	1269.56	5.1399
Smp_118280.1	564	396.696	46	10.9955
Smp_191880.1	504	336.927	0	0
Smp_073620.1	2185	2017.57	1203	56.5396
Smp_073610.2	11214	11046.6	407.91	3.50149
Smp_073610.1	11384	11216.6	137.216	1.16001
Smp_073600.1	1128	960.573	1060	104.639
Smp_073590.1	787	619.573	2050	313.745
Smp_161990.1	525	357.825	121	32.065
Smp_161940.1	872	704.573	110	14.8041
Smp_073490.1	1033	865.573	88	9.6404
Smp_073500.1	4587	4419.57	124.717	2.67585
Smp_073500.2	1359	1191.57	1046.01	83.2396
Smp_161950.1	327	163.453	13	7.54166
Smp_073510.1	1568	1400.57	156.914	10.6236
Smp_161960.1	3527	3359.57	600	16.9349
Smp_161970.1	2355	2187.57	396	17.1652
Smp_073540.1	763	595.573	477	75.945
Smp_161980.1	4094	3926.57	330	7.96923
Smp_073560.1	22014	21846.6	368.819	1.60083
Smp_073560.2	1548	1380.57	531.281	36.4906
Smp_073570.1	947	779.573	411.563	50.0606
Smp_079240.1	2494	2326.57	214	8.72194
Smp_079230.1	431	264.438	1386	496.999
Smp_079430.1	804	636.573	1427.6	212.654
Smp_079430.2	651	483.676	1668.4	327.087
Smp_185870.1	846	678.573	1.04516	0.146051
Smp_079420.1	3576	3408.57	73.8161	2.0535
Smp_079420.2	2384	2216.57	543.184	23.237
Smp_079410.1	2776	2608.57	125	4.54384
Smp_079400.1	1932	1764.57	190	10.2101
Smp_164970.1	417	250.605	7	2.64865
Smp_079390.1	5784	5616.57	381	6.43235
Smp_079380.1	1623	1455.57	39	2.54066
Smp_079370.2	3594	3426.57	58.9195	1.63048
Smp_079370.1	3538	3370.57	153.081	4.30658
Smp_164960.1	9219	9051.57	1397.85	14.6438
Smp_164950.1	2104	1936.57	173	8.47088
Smp_164940.1	10762	10594.6	460.571	4.1222
Smp_164930.1	4387	4219.57	392	8.80914
Smp_079310.1	972	804.573	2494	293.932
Smp_164920.1	306	143.998	66	43.4613
Smp_164910.1	162	33.1801	1	2.85784
Smp_164890.1	2114	1946.57	143	6.96597
Smp_164900.1	570	402.696	43	10.1253
Smp_079290.1	1318	1150.57	1023.46	84.3478
Smp_079290.3	1381	1213.57	169.538	13.247
Smp_079280.1	792	624.573	10	1.51821
Smp_079270.1	782	614.573	2187.96	337.584
Smp_079260.1	1887	1719.57	1	0.0551436
Smp_196530.1	51	22.2222	0	0
