target_id	length	eff_length	est_counts	tpm
Smp_163210.1	2427	2249.7	1324	46.5447
Smp_200310.1	285	115.766	28.3085	19.3394
Smp_068990.1	7963	7785.7	1428.43	14.5101
Smp_159540.1	12903	12725.7	419	2.60399
Smp_116070.1	267	100.46	0	0
Smp_159550.1	2046	1868.7	191	8.08352
Smp_159560.1	2208	2030.7	34	1.32416
Smp_159570.1	3744	3566.7	344	7.62779
Smp_159590.1	2091	1913.7	436	18.0185
Smp_159600.1	4779	4601.7	124	2.13113
Smp_129610.1	1155	977.704	154	12.4572
Smp_129600.1	444	267.293	15	4.43825
Smp_129590.1	4881	4703.7	611	10.2733
Smp_129580.1	3912	3734.7	811.459	17.1837
Smp_201090.1	1422	1244.7	20	1.27078
Smp_129550.1	2800	2622.7	744.541	22.4516
Smp_129560.1	2528	2350.7	1137	38.2534
Smp_013690.1	3060	2882.7	1106	30.3433
Smp_209010.1	38357	38179.7	1728.27	3.58003
Smp_129570.1	1974	1796.7	553.882	24.3808
Smp_124360.1	615	437.89	694	125.343
Smp_124350.1	3279	3101.7	62	1.58088
Smp_004090.1	834	656.704	441	53.11
Smp_004080.1	1397	1219.7	1156	74.9567
Smp_004070.1	776	598.704	41	5.416
Smp_004060.1	1587	1409.7	354	19.8602
Smp_124340.1	2328	2150.7	31	1.13996
Smp_004040.1	1251	1073.7	196	14.4371
Smp_004020.1	4161	3983.7	1389	27.5755
Smp_124320.1	1230	1052.7	493	37.038
Smp_004000.1	3090	2912.7	322.424	8.75464
Smp_003990.1	1172	994.704	6062	481.98
Smp_003980.1	2372	2194.7	856	30.8465
Smp_114240.1	415	238.597	122.464	40.593
Smp_003970.1	809	631.704	2087	261.286
Smp_101670.1	3278	3100.7	297.137	7.57885
Smp_124310.1	712	534.725	253	37.4195
Smp_124300.1	2014	1836.7	659	28.3762
Smp_124290.1	384	208.231	182	69.1248
Smp_003940.1	1118	940.704	225	18.9163
Smp_003930.1	1720	1542.7	86	4.40883
Smp_124280.1	2021	1843.7	65	2.78824
Smp_003900.1	3570	3392.7	100	2.3311
Smp_124250.1	1125	947.704	165	13.7695
Smp_124240.1	1748	1570.7	654	32.9299
Smp_003860.1	809	631.704	388	48.5764
Smp_124230.1	1017	839.704	248	23.3578
Smp_124220.1	6395	6217.7	1459	18.5581
Smp_124210.1	2163	1985.7	17	0.677083
Smp_193890.1	162	28.8996	11	30.103
Smp_193900.1	243	80.8851	0	0
Smp_124200.1	4437	4259.7	17	0.315629
Smp_003790.1	831	653.704	4	0.483934
Smp_124190.1	2616	2438.7	54	1.75123
Smp_003770.1	582	404.922	6731	1314.67
Smp_003760.1	576	398.936	23	4.55965
Smp_124180.1	6729	6551.7	2	0.0241426
Smp_124170.1	3903	3725.7	236	5.00969
Smp_124160.1	1006	828.704	143.136	13.6602
Smp_124160.2	936	758.704	206.864	21.5636
Smp_003700.1	1180	1002.7	1022	80.6094
Smp_124130.1	1434	1256.7	41	2.58023
Smp_003670.1	3459	3281.7	412	9.92899
Smp_003660.1	2381	2203.7	3320	119.15
Smp_124120.1	1713	1535.7	287	14.7802
Smp_124110.1	2250	2072.7	509	19.4217
Smp_003630.1	1610	1432.7	1282	70.7683
Smp_003620.1	2144	1966.7	899	36.1516
Smp_003610.1	2325	2147.7	274.545	10.1099
Smp_003610.2	471	294.116	329.929	88.7174
Smp_003600.1	471	294.116	5	1.34449
Smp_188200.1	480	303.039	3	0.782944
Smp_124100.1	2775	2597.7	481	14.6441
Smp_124090.1	2865	2687.7	6	0.176554
Smp_124080.1	279	110.62	4	2.85979
Smp_124070.1	698	520.725	776	117.858
Smp_124060.1	711	533.725	149	22.0788
Smp_124050.1	2408	2230.7	189.69	6.72528
Smp_124050.2	1167	989.704	0	0
Smp_124050.4	1305	1127.7	1377.82	96.6287
Smp_124040.1	1041	863.704	68	6.2266
Smp_200320.1	219	63.0157	5	6.27522
Smp_124030.1	1407	1229.7	287	18.4582
Smp_124020.1	1286	1108.7	550	39.2333
Smp_124010.1	375	199.51	0	0
Smp_124000.1	415	238.597	1316	436.212
Smp_003440.1	1797	1619.7	143	6.98245
Smp_200330.1	750	572.704	776	107.161
Smp_123990.1	1203	1025.7	1092	84.1992
Smp_123980.1	219	63.0157	0	0
Smp_003410.1	663	485.855	4478	728.929
Smp_123970.1	273	105.53	0	0
Smp_123960.1	13015	12837.7	495	3.04948
Smp_188600.1	213	58.6668	0	0
Smp_123950.1	2732	2554.7	771.48	23.8832
Smp_123940.1	3587	3409.7	715.52	16.5963
Smp_003340.1	3440	3262.7	1414	34.2751
Smp_003330.1	586	408.922	178	34.4261
Smp_123930.1	1284	1106.7	1593	113.839
Smp_123920.1	573	395.936	0	0
Smp_003300.1	1167	989.704	0	0
Smp_123910.1	741	563.704	39	5.47168
Smp_123900.1	195	47.12	0	0
Smp_003280.1	3027	2849.7	27	0.749327
Smp_123880.1	586	408.922	3717	718.886
Smp_003250.1	408	231.702	290	98.9865
Smp_123870.1	498	321.027	488	120.222
Smp_003230.1	3038	2860.7	475.164	13.1364
Smp_123860.1	2709	2531.7	174	5.43555
Smp_123850.1	264	97.9297	0	0
Smp_123840.1	2580	2402.7	63	2.07371
Smp_003190.1	3648	3470.7	33	0.751976
Smp_123830.1	4818	4640.7	2394	40.7988
Smp_123820.1	3120	2942.7	22	0.591267
Smp_123810.1	1542	1364.7	41	2.37603
Smp_003140.1	1766	1588.7	1080	53.7636
Smp_003130.1	741	563.704	319	44.7555
Smp_123790.1	948	770.704	27	2.77066
Smp_123780.1	1944	1766.7	34	1.52203
Smp_003110.1	1246	1068.7	955.922	70.7412
Smp_003110.2	5152	4974.7	207.366	3.29669
Smp_197080.1	2541	2363.7	1563	52.2966
Smp_197070.1	1734	1556.7	205	10.4149
Smp_123750.1	3142	2964.7	1884	50.2582
Smp_200440.1	462	285.181	134	37.1614
Smp_200470.1	276	108	0	0
Smp_200480.1	480	303.039	0	0
Smp_073800.1	2571	2393.7	569	18.7996
Smp_073790.1	781	603.704	2701	353.841
Smp_162060.1	2212	2034.7	991	38.5194
Smp_162050.1	5603	5425.7	630	9.18316
Smp_162040.1	8890	8712.7	3556.74	32.2855
Smp_162030.1	1425	1247.7	385	24.4037
Smp_073720.1	3573	3395.7	768	17.8871
Smp_162010.1	2385	2207.7	61.8184	2.21454
Smp_073690.1	10945	10767.7	488.121	3.58519
Smp_073690.2	708	530.725	342.941	51.1043
Smp_073680.1	1258	1080.7	842	61.6187
Smp_162000.1	23589	23411.7	2703.2	9.13172
Smp_118280.1	564	386.936	144	29.4327
Smp_191880.1	504	327.027	1	0.241838
Smp_073620.1	2185	2007.7	1256	49.4763
Smp_073610.2	11214	11036.7	1242.08	8.90059
Smp_073610.1	11384	11206.7	96.4169	0.680429
Smp_073600.1	1128	950.704	1274	105.982
Smp_073590.1	787	609.704	2857	370.594
Smp_161990.1	525	347.977	289	65.6833
Smp_161940.1	872	694.704	404	45.9927
Smp_073490.1	1033	855.704	309	28.5589
Smp_073500.1	4587	4409.7	188.346	3.37796
Smp_073500.2	1359	1181.7	2129.97	142.552
Smp_161950.1	327	153.786	11	5.65695
Smp_073510.1	1568	1390.7	341.343	19.4117
Smp_161960.1	3527	3349.7	816	19.266
Smp_161970.1	2355	2177.7	1079	39.1859
Smp_073540.1	763	585.704	766	103.433
Smp_161980.1	4094	3916.7	1253	25.301
Smp_073560.1	22014	21836.7	801.465	2.90272
Smp_073560.2	1548	1370.7	675.838	38.9947
Smp_073570.1	947	769.704	376.165	38.6511
Smp_079240.1	2494	2316.7	380	12.9724
Smp_079230.1	431	254.407	1760	547.13
Smp_079430.1	804	626.704	1902.33	240.066
Smp_079430.2	651	473.89	3142.67	524.48
Smp_185870.1	846	668.704	0	0
Smp_079420.1	3576	3398.7	94.3018	2.19439
Smp_079420.2	2384	2206.7	758.698	27.1915
Smp_079410.1	2776	2598.7	169	5.14325
Smp_079400.1	1932	1754.7	498	22.4457
Smp_164970.1	417	240.553	45	14.7948
Smp_079390.1	5784	5606.7	884	12.4696
Smp_079380.1	1623	1445.7	224	12.2539
Smp_079370.2	3594	3416.7	435.84	10.0885
Smp_079370.1	3538	3360.7	262.16	6.16941
Smp_164960.1	9219	9041.7	1320.65	11.5517
Smp_164950.1	2104	1926.7	297	12.1913
Smp_164940.1	10762	10584.7	854.615	6.38556
Smp_164930.1	4387	4209.7	1198	22.5067
Smp_079310.1	972	794.704	2606	259.344
Smp_164920.1	306	134.438	68	40.003
Smp_164910.1	162	28.8996	1	2.73663
Smp_164890.1	2114	1936.7	479	19.5605
Smp_164900.1	570	392.936	156	31.3986
Smp_079290.1	1318	1140.7	2094.98	145.249
Smp_079290.3	1381	1203.7	337.019	22.1433
Smp_079280.1	792	614.704	55	7.07626
Smp_079270.1	782	604.704	770	100.706
Smp_079260.1	1887	1709.7	4	0.185032
Smp_196530.1	51	23.75	1	3.33
Smp_053390.1	510	333.027	2271	539.318
Smp_150750.1	7524	7346.7	722	7.77235
Smp_150740.1	2760	2582.7	1606	49.1788
Smp_150730.1	3084	2906.7	350	9.52302
Smp_200350.1	174	35.0572	16	36.0952
Smp_150720.1	210	56.5349	0	0
Smp_200560.1	312	139.914	13	7.34834
Smp_194870.1	312	139.914	34.7797	19.6595
Smp_194860.1	279	110.62	7538	5389.27
Smp_053300.1	3877	3699.7	96.2203	2.05687
Smp_156140.1	1926	1748.7	47	2.12564
Smp_168410.1	1140	962.704	11	0.903664
Smp_085180.1	1108	930.704	1163	98.827
Smp_168400.1	11968	11790.7	346.919	2.327
Smp_196450.1	862	684.704	25	2.88765
Smp_163640.1	450	273.253	230	66.5688
Smp_077030.1	1522	1344.7	1049	61.6959
Smp_163630.2	301	129.926	265.002	161.31
Smp_163630.1	551	373.95	684.998	144.871
Smp_076710.1	1113	935.704	232	19.6091
Smp_163440.1	678	500.818	0	0
Smp_163430.1	1364	1186.7	785	52.316
Smp_163420.1	12655	12477.7	2497.22	15.8281
Smp_163420.2	5205	5027.7	389.784	6.13143
Smp_058200.1	234	74.1017	0	0
Smp_200580.1	294	123.735	0	0
Smp_076660.1	6791	6613.7	1392.99	16.6575
Smp_076630.2	1937	1759.7	753.045	33.8446
Smp_076630.1	1970	1792.7	66.9547	2.95379
Smp_163400.1	273	105.53	2	1.49885
Smp_200600.1	363	187.868	2	0.841946
Smp_080280.1	2690	2512.7	2386.6	75.1182
